date,time,ax,ay,az,temp,hum,gas,heart,ir,flame,status
2025-10-29,20:45:27,-3168,12436,-10992,31.80,73.00,1350,101.00,1,1,SAFE
2025-10-29,20:45:28,-3124,12476,-11164,31.80,73.00,1348,102.00,1,1,SAFE
2025-10-29,20:45:29,-3180,12356,-11092,32.70,72.90,1347,102.00,1,1,SAFE
2025-10-29,20:45:30,-3176,12388,-10984,32.70,72.90,1357,102.00,1,1,SAFE
2025-10-29,20:45:31,-3160,12396,-11112,32.90,71.80,1346,99.00,1,1,SAFE
2025-10-29,20:45:32,-3416,12220,-10208,32.90,71.80,1351,104.00,1,1,SAFE
2025-10-29,20:45:33,-3712,12140,-10396,33.80,70.40,1289,131.00,1,1,UNSAFE
2025-10-29,20:45:34,-3500,13692,-8944,33.80,70.40,1347,128.00,1,1,UNSAFE
2025-10-29,20:45:35,-3648,13656,-8920,33.70,68.80,1299,101.00,1,1,SAFE
2025-10-29,20:45:36,-3604,13732,-8808,33.70,68.80,1377,99.00,1,1,SAFE
2025-10-29,20:45:37,-3728,13668,-8920,33.90,67.90,1322,96.00,1,1,SAFE
2025-10-29,20:45:38,-3540,13812,-8904,33.90,67.90,1354,115.00,1,1,SAFE
2025-10-29,20:45:39,-3600,13752,-8764,34.00,66.90,1387,100.00,1,1,SAFE
2025-10-29,20:45:40,-3568,13792,-8700,34.00,66.90,1327,93.00,1,1,SAFE
2025-10-29,20:45:41,-3580,13700,-8708,34.00,65.90,1354,132.00,1,1,UNSAFE
2025-10-29,20:45:42,-3632,13768,-8732,34.00,65.90,1326,97.00,1,1,SAFE
2025-10-29,20:45:43,-3684,13644,-8700,34.10,65.20,1366,113.00,1,1,SAFE
2025-10-29,20:45:44,-3648,13844,-8724,34.10,65.20,1342,98.00,1,1,SAFE
2025-10-29,20:45:45,-3776,13744,-8652,34.30,64.60,1359,103.00,1,1,SAFE
2025-10-29,20:45:46,-3672,13768,-8668,34.30,64.60,1369,112.00,1,1,SAFE
2025-10-29,20:45:47,-3644,13800,-8716,34.80,64.40,1345,98.00,1,1,SAFE
2025-10-29,20:45:48,-3544,13712,-8672,34.80,64.40,1394,108.00,1,1,SAFE
2025-10-29,20:45:49,-3684,13888,-8712,35.10,64.80,1399,95.00,1,1,SAFE
2025-10-29,20:45:50,-3640,13752,-8684,35.10,64.80,1376,101.00,1,1,SAFE
2025-10-29,20:45:51,-3608,13804,-8700,35.50,63.70,1360,99.00,1,1,SAFE
2025-10-29,20:45:52,-3628,13824,-8584,35.50,63.70,1351,100.00,1,1,SAFE
2025-10-29,20:45:53,-3628,13876,-8632,35.80,62.70,1365,98.00,1,1,SAFE
2025-10-29,20:45:54,-3608,13860,-8688,35.80,62.70,1352,100.00,1,1,SAFE
2025-10-29,20:45:55,-3660,13760,-8668,36.00,61.90,1360,99.00,1,1,SAFE
2025-10-29,20:45:56,-3588,13836,-8624,36.00,61.90,1373,100.00,1,1,SAFE
2025-10-29,20:45:57,-3496,13796,-8788,36.90,61.00,1385,100.00,1,1,SAFE
2025-10-29,20:45:58,-3680,13828,-8680,36.90,61.00,1379,99.00,1,1,SAFE
2025-10-29,20:45:59,-3584,13868,-8608,37.00,60.10,1390,99.00,1,1,SAFE
2025-10-29,20:46:00,-3680,13772,-8648,37.00,60.10,1392,100.00,1,1,SAFE
2025-10-29,20:46:01,-3688,13748,-8632,37.10,59.20,1399,99.00,1,1,SAFE
2025-10-29,20:46:02,-3620,13860,-8708,37.10,59.20,1392,100.00,1,1,SAFE
2025-10-29,20:46:03,-3628,13820,-8740,37.10,58.30,1388,100.00,1,1,SAFE
2025-10-29,20:46:04,-3608,13812,-8640,37.10,58.30,1383,106.00,1,1,SAFE
2025-10-29,20:46:05,-3612,13820,-8628,37.20,57.60,1389,99.00,0,0,UNSAFE
2025-10-29,20:46:06,-3708,13856,-8764,37.20,57.60,1399,100.00,0,0,UNSAFE
2025-10-29,20:46:07,-3660,13796,-8688,37.20,57.30,1383,100.00,1,1,SAFE
2025-10-29,20:46:08,-3616,13864,-8552,37.20,57.30,1381,102.00,1,1,SAFE
2025-10-29,20:46:09,-3748,13768,-8672,37.20,56.90,1386,101.00,1,1,SAFE
2025-10-29,20:46:10,-3560,13772,-8660,37.20,56.90,1375,54.00,1,1,UNSAFE
2025-10-29,20:46:11,-3608,13696,-8636,37.10,56.70,1377,121.00,1,1,UNSAFE
2025-10-29,20:46:12,-3564,13824,-8748,37.10,56.70,1379,101.00,1,1,SAFE
2025-10-29,20:46:13,-3708,13732,-8660,37.10,56.50,1379,107.00,1,1,SAFE
2025-10-29,20:46:14,-3576,13816,-8632,37.10,56.50,1375,101.00,1,1,SAFE
2025-10-29,20:46:15,-3652,13768,-8636,37.30,56.50,1375,94.00,1,1,SAFE
2025-10-29,20:46:16,-3636,13848,-8636,37.30,56.50,1402,99.00,1,1,SAFE
2025-10-29,20:46:17,-3696,13768,-8688,37.10,56.40,1366,100.00,1,1,SAFE
2025-10-29,20:46:18,-1120,15612,6060,37.10,56.40,1360,113.00,1,1,SAFE
2025-10-29,20:46:19,8496,-144,-10564,37.10,56.40,1344,104.00,1,1,SAFE
2025-10-29,20:46:20,5832,15712,3584,37.10,56.40,1373,92.00,1,1,SAFE
2025-10-29,20:46:21,10136,-2204,-25888,37.00,56.40,1290,83.00,1,1,UNSAFE
2025-10-29,20:46:22,-2172,14860,2216,37.00,56.40,1295,105.00,1,1,SAFE
2025-10-29,20:46:23,8536,13836,-21500,36.90,56.70,1299,75.00,1,1,UNSAFE
2025-10-29,20:46:24,1352,21712,13128,36.90,56.70,1324,102.00,1,1,UNSAFE
2025-10-29,20:46:25,6368,9196,-18452,36.70,57.10,1344,83.00,1,1,UNSAFE
2025-10-29,20:46:26,-2824,13852,-8440,36.70,57.10,1334,96.00,1,1,SAFE
2025-10-29,20:46:27,-2820,13888,-8948,36.60,57.30,1325,50.00,1,1,UNSAFE
2025-10-29,20:46:28,-2872,13804,-8940,36.60,57.30,1332,50.00,1,1,UNSAFE
2025-10-29,20:46:29,-3560,13436,-9516,36.50,57.50,1341,51.00,1,1,UNSAFE
2025-10-29,20:46:30,-2808,13896,-9064,36.50,57.50,1341,50.00,1,1,UNSAFE
2025-10-29,20:46:31,-2828,13732,-8864,36.50,57.50,1351,52.00,1,1,UNSAFE
2025-10-29,20:46:32,-2868,13932,-8864,36.50,57.50,1347,51.00,1,1,UNSAFE
2025-10-29,20:46:33,-2760,13824,-8952,36.30,57.50,1343,50.00,1,1,UNSAFE
2025-10-29,20:46:34,-2812,13868,-8940,36.30,57.50,1357,116.00,1,1,SAFE
2025-10-29,20:46:35,-2836,13628,-9244,36.20,57.50,1352,50.00,1,1,UNSAFE
2025-10-29,20:46:36,-2732,13752,-9308,36.20,57.50,1351,131.00,1,1,UNSAFE
2025-10-29,20:46:37,-2884,13684,-9464,36.10,57.60,1350,131.00,1,1,UNSAFE
